time,stations,station_x_coordinate,station_y_coordinate,MSL
2014-01-01,436,25.042,39.529,0.042
2014-01-01,437,24.968,39.5,0.042
2014-01-01,438,25.012,39.558,0.042
2014-01-01,439,3.274,39.763,0.05
2014-01-01,440,3.362,39.778,0.05
2014-01-01,441,3.45,39.749,0.05
2014-01-01,442,3.464,39.69,0.05
2014-01-01,443,3.42,39.617,0.05
2014-01-01,444,3.347,39.543,0.05
2014-01-01,445,3.289,39.485,0.05
2014-01-01,446,3.259,39.397,0.05
2014-01-01,447,3.186,39.338,0.05
2014-01-01,448,3.113,39.294000000000004,0.05
2014-01-01,449,3.04,39.294000000000004,0.05
2014-01-01,450,2.966,39.338,0.049
2014-01-01,451,2.878,39.353,0.049
2014-01-01,452,2.791,39.368,0.049
2014-01-01,453,2.747,39.441,0.049
2014-01-01,454,2.717,39.529,0.049
2014-01-01,455,2.644,39.558,0.049
2014-01-01,456,2.556,39.514,0.049
2014-01-01,457,2.498,39.47,0.049
2014-01-01,458,2.41,39.529,0.048
2014-01-01,459,2.351,39.587,0.048
2014-01-01,460,2.424,39.646,0.048
2014-01-01,461,2.498,39.69,0.048
2014-01-01,462,2.571,39.719,0.048
2014-01-01,463,2.644,39.778,0.049
2014-01-01,464,2.717,39.822,0.049
2014-01-01,465,2.805,39.866,0.049
2014-01-01,466,2.8930000000000002,39.895,0.049
2014-01-01,467,2.966,39.924,0.049
2014-01-01,468,3.069,39.939,0.049
2014-01-01,469,3.157,39.954,0.049
2014-01-01,470,3.201,39.924,0.05
2014-01-01,471,3.186,39.836,0.05
2014-01-01,472,25.452,39.998,0.041
2014-01-01,473,25.408,39.924,0.042
2014-01-01,474,25.364,39.851,0.042
2014-01-01,475,25.305,39.792,0.042
2014-01-01,476,25.217,39.807,0.042
2014-01-01,477,25.129,39.822,0.042
2014-01-01,478,25.056,39.836,0.042
2014-01-01,479,25.056,39.924,0.042
2014-01-01,480,25.071,39.998,0.042
2014-01-01,481,25.173000000000002,39.998,0.042
2014-01-01,482,25.261,39.998,0.042
2014-01-01,483,25.334,39.983000000000004,0.042
2014-01-01,484,25.422,40.027,0.042
2014-01-01,485,4.255,39.998,0.051
2014-01-01,486,4.314,39.917,0.051
2014-01-01,487,4.314,39.836,0.051
2014-01-01,488,4.226,39.822,0.051
2014-01-01,489,4.138,39.851,0.051
2014-01-01,490,4.065,39.895,0.051
2014-01-01,491,3.977,39.924,0.051
2014-01-01,492,3.8890000000000002,39.924,0.051
2014-01-01,493,3.831,39.968,0.05
2014-01-01,494,3.831,40.042,0.05
2014-01-01,495,3.918,40.071,0.05
2014-01-01,496,4.006,40.071,0.051
2014-01-01,497,4.094,40.071,0.051
2014-01-01,498,4.182,40.071,0.051
2014-01-01,499,25.759,40.1,0.041
2014-01-01,500,25.671,40.129,0.041
2014-01-01,501,25.715,40.188,0.041
2014-01-01,502,25.803,40.217,0.041
2014-01-01,503,25.891000000000002,40.247,0.041
2014-01-01,504,25.964000000000002,40.217,0.041
2014-01-01,505,25.994,40.129,0.041
2014-01-01,506,25.906,40.115,0.041
2014-01-01,507,25.642,40.408,0.041
2014-01-01,508,25.554000000000002,40.393,0.041
2014-01-01,509,25.481,40.437,0.041
2014-01-01,510,25.466,40.496,0.041
2014-01-01,511,25.554000000000002,40.51,0.041
2014-01-01,512,25.642,40.496,0.041
2014-01-01,513,25.715,40.437,0.041
2014-01-01,514,13.894,40.701,0.046
2014-01-01,515,13.879,40.759,0.046
2014-01-01,516,13.967,40.745,0.046
2014-01-01,517,9.397,41.243,0.048
2014-01-01,518,9.47,41.228,0.048
2014-01-01,519,9.514,41.155,0.048
2014-01-01,520,9.558,41.082,0.048
2014-01-01,521,9.617,41.023,0.048
2014-01-01,522,9.631,40.95,0.049
2014-01-01,523,9.675,40.876,0.049
2014-01-01,524,9.705,40.818,0.049
2014-01-01,525,9.719,40.730000000000004,0.049
2014-01-01,526,9.749,40.642,0.049
